Name,Code,Population,Total Words,Last Change,Translated,Fuzzy,Untranslated
Arabic,ar,351664195,4807,,0,0,4807
Bengali,bn,267193288,861,2023-04-05,37,1,823
Danish,da,7072056,5807,2022-05-26,1778,471,3558
German,de,136350226,5866,2023-02-21,5399,212,255
English,en,1636485035,6694,,6694,0,0
English (United Kingdom),en_GB,64445878,1982,2023-05-15,175,0,1807
Spanish,es,493528078,4095,2023-06-06,2093,372,1630
Persian,fa,84710458,2906,2022-05-26,266,9,2631
French,fr,278611506,5866,2023-04-13,5808,40,18
Hindi,hi,545556054,873,2023-06-04,374,3,496
Hungarian,hu,12443429,591,2023-04-06,4,0,587
Indonesian,id,171207687,587,2023-02-01,1,0,586
Italian,it,70247059,5984,2022-08-30,5983,0,1
Japanese,ja,119729025,5748,2022-05-26,5005,361,382
Korean,ko,78357047,5866,2022-10-01,4498,199,1169
Lithuanian,lt,2488617,5866,2022-05-26,5677,86,103
Nepali,ne,20903374,889,2023-05-06,282,0,607
Norwegian Nynorsk,nn,1366860,2622,2022-05-26,1866,539,217
Polish,pl,41077398,5866,2022-05-26,5370,226,270
Portuguese (Brazil),pt_BR,192661560,5894,2023-04-16,3996,972,926
Russian,ru,195841151,5866,2022-05-26,5693,74,99
Albanian,sq,6791906,1170,2022-08-30,70,0,1100
Turkish,tr,80360705,4260,2022-05-26,1846,532,1882
Urdu,ur,290790290,587,2023-02-01,1,0,586
Chinese (Simplified),zh_Hans,1266066359,5810,2023-03-08,4906,444,460
Chinese (Traditional),zh_Hant,38612556,5866,2022-05-26,5368,220,278
